anzsco_code,occupation_title,skill_level,mltssl,stsol,rol,csol,assessing_authority,validity_years,additional_info,alternate_titles
133611,Supply and Distribution Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
133612,Procurement Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
134211,Medical Administrator \ Medical Superintendent,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
134212,Nursing Clinical Director,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
134213,Primary Health Organisation Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
134311,School Principal,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
134411,Faculty Head,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
134499,Education Managers nec,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
135111,Chief Information Officer,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
135112,ICT Project Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
135199,ICT Managers nec,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
139911,Arts Administrator or Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
139912,Environmental Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
139913,Laboratory Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
139916,Quality Assurance Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
139917,Regulatory Affairs Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
141311,Hotel or Motel Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
141411,Licensed Club Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
141999,Accommodation and Hospitality Managers nec,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
142111,Retail Manager (General),1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
142116,Travel Agency Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
149411,Fleet Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
149911,Boarding Kennel or Cattery Operator,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
149912,Cinema or Theatre Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
149915,Equipment Hire Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
149999,"Hospitality, Retail and Service Managers nec",1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
211212,Music Director,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
212111,Artistic Director,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
212315,Program Director (Television or Radio),1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
212316,Stage Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
212317,Technical Director,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
212318,Video Producer,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
212413,Print Journalist,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
212414,Radio Journalist,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
212415,Technical Writer,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
212416,Television Journalist,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
212499,Journalists and Other Writers nec,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
221111,Accountant (General),1,No,No,No,Yes,Chartered Accountants ANZ / CPA Australia / IPA,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
221112,Management Accountant,1,No,No,No,Yes,Chartered Accountants ANZ / CPA Australia / IPA,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
221113,Taxation Accountant,1,No,No,No,Yes,Chartered Accountants ANZ / CPA Australia / IPA,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
221211,Company Secretary,1,No,No,No,Yes,Chartered Accountants ANZ / CPA Australia / IPA,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
221213,External Auditor,1,No,No,No,Yes,Chartered Accountants ANZ / CPA Australia / IPA,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
221214,Internal Auditor,1,No,No,No,Yes,Chartered Accountants ANZ / CPA Australia / IPA,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
222112,Finance Broker,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
222113,Insurance Broker,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
222311,Financial Investment Adviser,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
223111,Human Resource Adviser,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
223112,Recruitment Consultant,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
223113,Workplace Relations Adviser,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
224111,Actuary,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
224112,Mathematician,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
224114,Data Analyst,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
224115,Data Scientist,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
224116,Statistician,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
224511,Land Economist,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
224512,Valuer,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
224712,Organisation and Methods Analyst,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
224713,Management Consultant,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
224714,Supply Chain Analyst,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
224914,Patents Examiner,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
224999,Information and Organisation Professionals nec,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
225111,Advertising Specialist,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
225113,Marketing Specialist,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
225114,Content Creator (Marketing),1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
225211,ICT Account Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
225212,ICT Business Development Manager,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
225213,ICT Sales Representative,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
225311,Public Relations Professional,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
225411,Sales Representative (Industrial Products),1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
225412,Sales Representative (Medical and Pharmaceutical Products),1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
225499,Technical Sales Representatives nec,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
231111,Aeroplane Pilot,1,No,No,No,Yes,Civil Aviation Safety Authority (CASA),,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
231113,Flying Instructor,1,No,No,No,Yes,Civil Aviation Safety Authority (CASA),,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
231114,Helicopter Pilot,1,No,No,No,Yes,Civil Aviation Safety Authority (CASA),,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
231199,Air Transport Professionals nec,1,No,No,No,Yes,Civil Aviation Safety Authority (CASA),,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
231212,Ship's Engineer,1,No,No,No,Yes,Australian Maritime Safety Authority (AMSA),,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
232111,Architect,1,No,No,No,Yes,Architects Accreditation Council of Australia (AACA),,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
232112,Landscape Architect,1,No,No,No,Yes,Architects Accreditation Council of Australia (AACA),,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
232212,Surveyor,1,No,No,No,Yes,Surveying and Spatial Sciences Institute (SSSI),,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
232213,Cartographer,1,No,No,No,Yes,Surveying and Spatial Sciences Institute (SSSI),,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
232214,Other Spatial Scientist,1,No,No,No,Yes,Surveying and Spatial Sciences Institute (SSSI),,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
232313,Jewellery Designer,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
232412,Illustrator,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
232413,Multimedia Designer,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
232414,Web Designer,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
232511,Interior Designer,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
232611,Urban and Regional Planner,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
233111,Chemical Engineer,1,No,No,No,Yes,Engineers Australia,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
233112,Materials Engineer,1,No,No,No,Yes,Engineers Australia,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
233211,Civil Engineer,1,No,No,No,Yes,Engineers Australia,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
233212,Geotechnical Engineer,1,No,No,No,Yes,Engineers Australia,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
233213,Quantity Surveyor,1,No,No,No,Yes,Engineers Australia,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
233214,Structural Engineer,1,No,No,No,Yes,Engineers Australia,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
233215,Transport Engineer,1,No,No,No,Yes,Engineers Australia,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
233311,Electrical Engineer,1,No,No,No,Yes,Engineers Australia,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
233411,Electronics Engineer,1,No,No,No,Yes,Engineers Australia,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
233511,Industrial Engineer,1,No,No,No,Yes,Engineers Australia,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
233512,Mechanical Engineer,1,No,No,No,Yes,Engineers Australia,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
233513,Production or Plant Engineer,1,No,No,No,Yes,Engineers Australia,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
233611,Mining Engineer (excluding Petroleum),1,No,No,No,Yes,Engineers Australia,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
233612,Petroleum Engineer,1,No,No,No,Yes,Engineers Australia,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
233911,Aeronautical Engineer,1,No,No,No,Yes,Engineers Australia,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
233912,Agricultural Engineer,1,No,No,No,Yes,Engineers Australia,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
233913,Biomedical Engineer,1,No,No,No,Yes,Engineers Australia,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
233914,Engineering Technologist,1,No,No,No,Yes,Engineers Australia,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
233915,Environmental Engineer,1,No,No,No,Yes,Engineers Australia,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
233916,Naval Architect \ Marine Designer,1,No,No,No,Yes,Engineers Australia,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
233999,Engineering Professionals nec,1,No,No,No,Yes,Engineers Australia,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
234111,Agricultural Consultant,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
234114,Agricultural Research Scientist,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
234115,Agronomist,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
234116,Aquaculture or Fisheries Scientist,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
234211,Chemist,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
234212,Food Technologist,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
234213,Wine Maker,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
234312,Environmental Consultant,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
234399,Environmental Scientists nec,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
234411,Geologist,1,No,No,No,Yes,VETASSESS,,Part of Core Skills Occupation List (CSOL) for Skills in Demand visa (subclass 482) and Employer Nomination Scheme (subclass 186) Direct Entry stream,
